"fecha_siniestro","monto_siniestro"
feb. 2006,0.472
feb. 2006,0.934
feb. 2006,0.33
mar. 2006,0.399
mar. 2006,0.345
mar. 2006,0.346
mar. 2006,2.051
abr. 2006,0.412
abr. 2006,0.584
abr. 2006,2.107
may. 2006,0.305
may. 2006,0.655
may. 2006,0.401
may. 2006,0.331
may. 2006,0.307
may. 2006,0.316
jun. 2006,0.371
jun. 2006,0.305
jun. 2006,0.336
jul. 2006,0.373
jul. 2006,1.074
jul. 2006,0.505
ago. 2006,0.355
ago. 2006,0.359
ago. 2006,0.519
ago. 2006,1.823
ago. 2006,0.51
ago. 2006,0.338
ago. 2006,0.315
ago. 2006,0.319
sep. 2006,0.312
sep. 2006,0.368
sep. 2006,0.73
sep. 2006,0.321
sep. 2006,0.393
sep. 2006,1.984
oct. 2006,2.282
oct. 2006,0.545
oct. 2006,1.232
oct. 2006,0.343
nov. 2006,0.359
nov. 2006,0.357
dic. 2006,0.321
dic. 2006,0.324
dic. 2006,0.326
dic. 2006,0.322
ene. 2007,0.379
ene. 2007,1.162
ene. 2007,0.636
ene. 2007,0.499
ene. 2007,0.422
ene. 2007,0.497
ene. 2007,0.538
feb. 2007,0.831
feb. 2007,0.349
mar. 2007,0.316
mar. 2007,0.451
mar. 2007,0.416
mar. 2007,0.491
mar. 2007,0.302
mar. 2007,0.769
mar. 2007,0.313
mar. 2007,0.397
mar. 2007,0.36
mar. 2007,1.153
mar. 2007,0.42
abr. 2007,0.692
abr. 2007,1.408
abr. 2007,1.049
abr. 2007,0.742
abr. 2007,0.312
abr. 2007,0.761
abr. 2007,0.778
abr. 2007,0.425
abr. 2007,0.515
abr. 2007,0.612
may. 2007,0.349
may. 2007,0.31
may. 2007,0.763
may. 2007,0.54
may. 2007,0.313
may. 2007,0.583
jun. 2007,0.338
jun. 2007,0.414
jun. 2007,0.779
jun. 2007,0.441
jun. 2007,0.631
jun. 2007,0.444
jun. 2007,0.358
jun. 2007,0.972
jul. 2007,0.361
jul. 2007,0.398
jul. 2007,0.407
ago. 2007,2.143
ago. 2007,1.928
ago. 2007,0.307
ago. 2007,0.408
ago. 2007,0.332
ago. 2007,0.459
ago. 2007,0.374
sep. 2007,0.309
sep. 2007,1.308
sep. 2007,0.892
sep. 2007,0.534
sep. 2007,0.37
sep. 2007,0.662
oct. 2007,0.434
oct. 2007,0.596
oct. 2007,0.462
oct. 2007,0.314
oct. 2007,1.041
oct. 2007,6.428
oct. 2007,3.12
oct. 2007,0.399
oct. 2007,0.317
oct. 2007,0.367
nov. 2007,0.607
nov. 2007,1.025
nov. 2007,0.442
nov. 2007,0.374
nov. 2007,0.777
nov. 2007,0.994
nov. 2007,0.338
dic. 2007,1.343
dic. 2007,0.351
dic. 2007,0.351
dic. 2007,0.415
dic. 2007,1.651
ene. 2008,0.349
ene. 2008,0.711
ene. 2008,2.845
ene. 2008,0.343
ene. 2008,0.321
feb. 2008,0.587
feb. 2008,2.251
feb. 2008,0.316
feb. 2008,0.395
feb. 2008,0.711
feb. 2008,1.374
feb. 2008,0.48
feb. 2008,0.325
feb. 2008,0.331
mar. 2008,0.527
mar. 2008,0.304
mar. 2008,0.354
mar. 2008,0.314
mar. 2008,3.463
mar. 2008,0.329
mar. 2008,0.356
mar. 2008,0.337
mar. 2008,0.318
abr. 2008,0.371
abr. 2008,0.825
abr. 2008,0.309
abr. 2008,0.354
abr. 2008,1
abr. 2008,1.151
abr. 2008,0.581
abr. 2008,0.487
may. 2008,0.331
may. 2008,2.363
may. 2008,1.193
may. 2008,0.419
may. 2008,1.082
may. 2008,0.322
may. 2008,0.571
jun. 2008,0.365
jun. 2008,0.394
jun. 2008,0.584
jun. 2008,0.384
jun. 2008,0.321
jul. 2008,1.232
jul. 2008,0.318
jul. 2008,0.306
jul. 2008,0.377
jul. 2008,0.389
jul. 2008,0.407
jul. 2008,0.804
jul. 2008,1.187
ago. 2008,0.355
ago. 2008,2.131
ago. 2008,0.353
ago. 2008,0.341
sep. 2008,1.112
sep. 2008,0.324
sep. 2008,1.233
sep. 2008,1.061
sep. 2008,0.353
sep. 2008,0.666
oct. 2008,0.324
oct. 2008,0.373
oct. 2008,0.402
nov. 2008,0.335
nov. 2008,0.434
nov. 2008,0.352
nov. 2008,0.911
nov. 2008,0.303
nov. 2008,0.414
nov. 2008,0.641
dic. 2008,0.375
dic. 2008,0.571
dic. 2008,2.186
dic. 2008,0.399
ene. 2009,1.227
ene. 2009,0.732
ene. 2009,0.469
feb. 2009,0.389
feb. 2009,0.355
feb. 2009,0.493
feb. 2009,0.676
feb. 2009,0.644
feb. 2009,0.493
feb. 2009,0.345
mar. 2009,0.428
mar. 2009,0.419
mar. 2009,1.205
mar. 2009,0.385
mar. 2009,0.517
abr. 2009,0.337
abr. 2009,0.488
abr. 2009,0.374
abr. 2009,0.316
abr. 2009,0.542
abr. 2009,0.983
may. 2009,0.486
may. 2009,3.821
may. 2009,0.74
may. 2009,0.629
may. 2009,0.392
may. 2009,0.408
may. 2009,0.611
jun. 2009,0.374
jun. 2009,0.312
jun. 2009,0.396
jul. 2009,0.392
ago. 2009,0.319
ago. 2009,0.31
ago. 2009,0.527
ago. 2009,0.42
ago. 2009,0.319
ago. 2009,0.322
ago. 2009,0.553
sep. 2009,0.353
sep. 2009,0.487
sep. 2009,1.28
sep. 2009,0.611
oct. 2009,0.804
oct. 2009,0.543
oct. 2009,0.327
oct. 2009,0.406
nov. 2009,0.46
nov. 2009,0.716
nov. 2009,0.786
dic. 2009,0.304
dic. 2009,0.461
dic. 2009,0.376
dic. 2009,0.493
dic. 2009,0.756
dic. 2009,0.595
dic. 2009,0.338
dic. 2009,4.289
ene. 2010,0.346
ene. 2010,0.447
ene. 2010,0.309
feb. 2010,0.349
feb. 2010,0.674
feb. 2010,0.319
feb. 2010,0.321
feb. 2010,0.335
feb. 2010,0.732
feb. 2010,0.481
feb. 2010,0.303
mar. 2010,1.576
mar. 2010,0.3
mar. 2010,0.378
mar. 2010,0.833
mar. 2010,0.344
mar. 2010,0.472
abr. 2010,0.353
