"fecha_siniestro","monto_siniestro"
ago. 2020,0.359
ago. 2020,0.436
sep. 2020,0.339
sep. 2020,1.075
sep. 2020,0.331
sep. 2020,0.312
sep. 2020,0.428
oct. 2020,0.864
oct. 2020,0.319
oct. 2020,0.342
oct. 2020,1.091
oct. 2020,0.8
oct. 2020,0.863
oct. 2020,0.957
oct. 2020,0.36
oct. 2020,0.326
oct. 2020,0.594
nov. 2020,0.971
nov. 2020,0.932
nov. 2020,0.442
nov. 2020,0.457
nov. 2020,0.307
dic. 2020,0.304
dic. 2020,0.688
dic. 2020,0.525
dic. 2020,0.552
ene. 2021,0.491
ene. 2021,0.445
ene. 2021,0.411
ene. 2021,0.363
feb. 2021,0.308
feb. 2021,0.478
feb. 2021,0.69
feb. 2021,0.433
feb. 2021,0.554
feb. 2021,0.489
feb. 2021,0.428
mar. 2021,0.352
mar. 2021,0.525
mar. 2021,0.703
mar. 2021,0.535
mar. 2021,0.327
mar. 2021,0.302
abr. 2021,0.464
abr. 2021,0.43
may. 2021,1.247
may. 2021,0.301
may. 2021,0.441
may. 2021,0.301
may. 2021,0.325
